0.02902757619738752,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 82, 'hue': 6453, 'bri': 116, 'sat': 255}",arc,Unmodified
0.22863945578231293,8,"{'transitiontime': 1, 'hue': 75, 'bri': 3, 'sat': 158}",beat,Unmodified
3.8741723356009072,14,"{'transitiontime': 1, 'hue': 168, 'bri': 254, 'sat': 179}",beat,Unmodified
5.6156689342403627,8,"{'transitiontime': 1, 'hue': 106, 'bri': 195, 'sat': 163}",beat,Unmodified
6.4748072562358274,15,"{'transitiontime': 1, 'hue': 89, 'bri': 179, 'sat': 249}",beat,Unmodified
6.8927664399092974,8,"{'transitiontime': 1, 'hue': 91, 'bri': 7, 'sat': 130}",beat,Unmodified
7.3223356009070297,15,"{'transitiontime': 1, 'hue': 139, 'bri': 232, 'sat': 206}",beat,Unmodified
7.7402947845804988,8,"{'transitiontime': 1, 'hue': 87, 'bri': 0, 'sat': 152}",beat,Unmodified
8.1698639455782303,7,"{'transitiontime': 1, 'hue': 96, 'bri': 189, 'sat': 168}",beat,Unmodified
8.30188679245283,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 32, 'hue': 8967, 'bri': 111, 'sat': 255}",arc,Safe
9.4353514739229016,8,"{'transitiontime': 1, 'hue': 105, 'bri': 17, 'sat': 192}",beat,Unmodified
9.8649206349206349,14,"{'transitiontime': 1, 'hue': 106, 'bri': 194, 'sat': 183}",beat,Unmodified
11.142018140589569,10,"{'transitiontime': 1, 'hue': 88, 'bri': 1, 'sat': 182}",beat,Unmodified
11.561683599419448,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 44, 'hue': 3331, 'bri': 128, 'sat': 255}",arc,Unmodified
13.731043083900227,8,"{'transitiontime': 1, 'hue': 90, 'bri': 2, 'sat': 190}",beat,Unmodified
14.160612244897958,8,"{'transitiontime': 1, 'hue': 108, 'bri': 198, 'sat': 137}",beat,Unmodified
14.601791383219954,15,"{'transitiontime': 1, 'hue': 91, 'bri': 1, 'sat': 187}",beat,Unmodified
15.031360544217687,8,"{'transitiontime': 1, 'hue': 101, 'bri': 192, 'sat': 231}",beat,Unmodified
15.460929705215419,15,"{'transitiontime': 1, 'hue': 104, 'bri': 18, 'sat': 253}",beat,Unmodified
15.878888888888888,7,"{'transitiontime': 1, 'hue': 97, 'bri': 188, 'sat': 239}",beat,Unmodified
16.020319303338173,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 147, 'hue': 15895, 'bri': 104, 'sat': 255}",arc,Safe
16.749637188208617,12,"{'transitiontime': 1, 'hue': 113, 'bri': 201, 'sat': 149}",beat,Unmodified
17.167596371882084,7,"{'transitiontime': 1, 'hue': 89, 'bri': 2, 'sat': 251}",beat,Unmodified
17.585555555555555,12,"{'transitiontime': 1, 'hue': 99, 'bri': 191, 'sat': 208}",beat,Unmodified
18.65312046444122,11,"{'transitiontime': 10, 'hue': 32396, 'bri': 229, 'sat': 255}",low,Unmodified
19.53846153846154,11,"{'transitiontime': 19, 'hue': 26997, 'bri': 0, 'sat': 255}",high,Unmodified
20.162970521541951,11,"{'transitiontime': 1, 'hue': 84, 'bri': 178, 'sat': 237}",beat,Unmodified
20.604149659863946,10,"{'transitiontime': 1, 'hue': 114, 'bri': 25, 'sat': 171}",beat,Unmodified
21.022108843537413,14,"{'transitiontime': 1, 'hue': 146, 'bri': 235, 'sat': 237}",beat,Unmodified
21.946298984034833,12,"{'transitiontime': 60, 'hue': 32396, 'bri': 229, 'sat': 255}",low,Safe
23.158344671201814,11,"{'transitiontime': 1, 'hue': 89, 'bri': 0, 'sat': 154}",beat,Unmodified
23.587913832199547,11,"{'transitiontime': 1, 'hue': 96, 'bri': 184, 'sat': 178}",beat,Unmodified
24.005873015873014,8,"{'transitiontime': 1, 'hue': 97, 'bri': 9, 'sat': 132}",beat,Unmodified
24.435442176870747,7,"{'transitiontime': 1, 'hue': 114, 'bri': 203, 'sat': 208}",beat,Unmodified
26.606507936507935,15,"{'transitiontime': 1, 'hue': 86, 'bri': 0, 'sat': 141}",beat,Unmodified
27.02322206095791,12,"{'transitiontime': 13, 'hue': 26997, 'bri': 0, 'sat': 255}",high,Unmodified
27.454036281179139,14,"{'transitiontime': 1, 'hue': 88, 'bri': 1, 'sat': 249}",beat,Unmodified
27.871995464852606,15,"{'transitiontime': 1, 'hue': 115, 'bri': 207, 'sat': 153}",beat,Unmodified
28.301564625850339,7,"{'transitiontime': 1, 'hue': 104, 'bri': 14, 'sat': 167}",beat,Unmodified
28.663280116110304,7,"{'transitiontime': 48, 'hue': 32396, 'bri': 229, 'sat': 255}",low,Safe
30.809869375907112,"[8, 10, 11, 12, 14, 15]","{'transitiontime': 60, 'hue': 9668, 'bri': 123, 'sat': 255}",arc,Safe
32.167687074829935,14,"{'transitiontime': 1, 'hue': 92, 'bri': 187, 'sat': 172}",beat,Unmodified
32.608866213151927,15,"{'transitiontime': 1, 'hue': 98, 'bri': 9, 'sat': 209}",beat,Unmodified
32.716981132075475,7,"{'transitiontime': 19, 'hue': 26997, 'bri': 0, 'sat': 255}",high,Unmodified
33.456394557823131,14,"{'transitiontime': 1, 'hue': 95, 'bri': 9, 'sat': 166}",beat,Unmodified
33.885963718820868,15,"{'transitiontime': 1, 'hue': 88, 'bri': 179, 'sat': 176}",beat,Unmodified
35.1944847605225,15,"{'transitiontime': 22, 'hue': 32396, 'bri': 229, 'sat': 255}",low,Unmodified
35.569410430839007,14,"{'transitiontime': 1, 'hue': 91, 'bri': 183, 'sat': 245}",beat,Unmodified
36.010589569160999,8,"{'transitiontime': 1, 'hue': 91, 'bri': 0, 'sat': 172}",beat,Unmodified
36.866473149492016,"[7, 8, 10, 11, 12, 14]","{'transitiontime': 119, 'hue': 13519, 'bri': 120, 'sat': 255}",arc,Safe
37.310907029478464,7,"{'transitiontime': 1, 'hue': 99, 'bri': 189, 'sat': 215}",beat,Unmodified
37.728866213151932,15,"{'transitiontime': 1, 'hue': 87, 'bri': 0, 'sat': 137}",beat,Unmodified
38.1422351233672,8,"{'transitiontime': 27, 'hue': 32396, 'bri': 229, 'sat': 255}",low,Safe
39.017573696145128,15,"{'transitiontime': 1, 'hue': 90, 'bri': 184, 'sat': 158}",beat,Unmodified
40.42960812772134,8,"{'transitiontime': 3, 'hue': 26997, 'bri': 0, 'sat': 255}",high,Unmodified
40.83744557329463,14,"{'transitiontime': 33, 'hue': 32396, 'bri': 229, 'sat': 255}",low,Safe
41.177029478458053,7,"{'transitiontime': 1, 'hue': 99, 'bri': 9, 'sat': 244}",beat,Unmodified
41.606598639455783,15,"{'transitiontime': 1, 'hue': 100, 'bri': 189, 'sat': 194}",beat,Unmodified
42.024557823129257,8,"{'transitiontime': 1, 'hue': 98, 'bri': 7, 'sat': 134}",beat,Unmodified
43.61248185776488,14,"{'transitiontime': 15, 'hue': 26997, 'bri': 0, 'sat': 255}",high,Unmodified
44.17240362811792,10,"{'transitiontime': 1, 'hue': 94, 'bri': 187, 'sat': 169}",beat,Unmodified
45.019931972789117,10,"{'transitiontime': 1, 'hue': 102, 'bri': 193, 'sat': 216}",beat,Unmodified
45.502177068214806,15,"{'transitiontime': 12, 'hue': 32396, 'bri': 229, 'sat': 255}",low,Safe
45.879070294784583,10,"{'transitiontime': 1, 'hue': 97, 'bri': 190, 'sat': 176}",beat,Unmodified
46.320249433106582,14,"{'transitiontime': 1, 'hue': 88, 'bri': 1, 'sat': 255}",beat,Unmodified
46.51088534107402,15,"{'transitiontime': 20, 'hue': 26997, 'bri': 0, 'sat': 255}",high,Unmodified
46.749818594104312,15,"{'transitiontime': 1, 'hue': 89, 'bri': 179, 'sat': 171}",beat,Unmodified
48.456485260770975,8,"{'transitiontime': 1, 'hue': 104, 'bri': 195, 'sat': 239}",beat,Unmodified
48.92017416545718,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 51, 'hue': 12216, 'bri': 127, 'sat': 255}",arc,Safe
49.087082728592165,8,"{'transitiontime': 26, 'hue': 32396, 'bri': 229, 'sat': 255}",low,Safe
49.745192743764179,14,"{'transitiontime': 1, 'hue': 91, 'bri': 2, 'sat': 191}",beat,Unmodified
51.3033381712627,8,"{'transitiontime': 2, 'hue': 26998, 'bri': 0, 'sat': 255}",high,Unmodified
51.66328011611031,7,"{'transitiontime': 31, 'hue': 32397, 'bri': 229, 'sat': 255}",low,Safe
52.717346938775513,12,"{'transitiontime': 1, 'hue': 113, 'bri': 205, 'sat': 184}",beat,Unmodified
